m_upper: 1024, m_lower 960, m: 992, i: 95, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 96, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 97, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 98, last_sol: 0
m_upper: 1024, m_lower 960, m: 992, i: 99, last_sol: 0
lb: 500, ub: 2000, sols: 0
m_upper: 1024, m_lower 992
m_upper: 1024, m_lower 992, m: 1008, i: 0, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 1, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 2, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 3, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 4, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 5, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 6, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 7, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 8, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 9, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 10, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 11, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 12, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 13, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 14, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 15, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 16, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 17, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 18, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 19, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 20, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 21, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 22, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 23, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 24, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 25, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 26, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 27, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 28, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 29, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 30, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 31, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 32, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 33, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 34, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 35, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 36, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 37, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 38, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 39, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 40, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 41, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 42, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 43, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 44, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 45, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 46, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 47, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 48, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 49, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 50, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 51, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 52, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 53, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 54, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 55, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 56, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 57, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 58, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 59, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 60, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 61, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 62, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 63, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 64, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 65, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 66, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 67, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 68, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 69, last_sol: 0
m_upper: 1024, m_lower 992, m: 1008, i: 70, last_sol: 0
